run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0001,0001,1,20260720_201246_postcopy_01_80aaee,postcopy,download,ok,2026-07-20T20:12:46Z,2026-07-20T20:13:13Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0001\summary.json,,False,,,1784578384144.0,1784578384144.0,events(offset_corrected),2502.0,650.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,53.0,49.0,1400.0,,200.0,75.0,29.0,0.0,0.0,0.0,200.0,74.0,200.0,74.0,0.0,0.0,1784578381736.0,1784578383147.0,,349.0,311.0,,301.0,432.0,,,,,1313.0,,,,1294.0,,,817.0,1096.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.07,1.253,1.19,1.814,1.04,1.192,30.0,,0.0,2411724800.0,3306.0,729499334.543,1.0,,0.0,0.0,,0.0,,0,True,0.11999999999999988,0.5610000000000002,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0002,0002,2,20260720_201314_postcopy_02_af59fb,postcopy,download,ok,2026-07-20T20:13:14Z,2026-07-20T20:13:39Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0002\summary.json,,False,,,1784578410729.0,1784578410729.0,events(offset_corrected),2601.0,650.0,1462.0,1.0,1462.0,1462.0,1462.0,0.0,50.0,48.0,1450.0,,200.0,73.0,30.0,0.0,0.0,0.0,199.0,73.0,199.0,73.0,0.0,0.0,1784578408260.0,1784578409722.0,,344.0,320.0,,308.0,423.0,,,,,1330.0,,,,1313.0,,,801.0,1068.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.2,1.352,1.225,1.619,1.1,1.324,27.0,,0.0,2097152000.0,3233.0,648670584.596,1.0,,0.0,0.0,,0.0,,0,True,0.025000000000000133,0.2669999999999999,1462.0,1462.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0003,0003,3,20260720_201340_postcopy_03_cf71f5,postcopy,download,ok,2026-07-20T20:13:40Z,2026-07-20T20:14:05Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0003\summary.json,,False,,,1784578436514.0,1784578436514.0,events(offset_corrected),2550.0,651.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,49.0,49.0,1400.0,,187.0,73.0,29.0,0.0,0.0,0.0,186.0,74.0,186.0,74.0,0.0,0.0,1784578434098.0,1784578435509.0,,311.0,312.0,,305.0,418.0,,,,,1328.0,,,,1311.0,,,834.0,1106.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.96,1.105,1.095,1.689,0.89,1.1,25.0,,0.0,1992294400.0,3058.0,651502419.882,1.0,,0.0,0.0,,0.0,,0,True,0.135,0.5840000000000001,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0004,0004,4,20260720_201406_postcopy_04_3abff2,postcopy,download,ok,2026-07-20T20:14:06Z,2026-07-20T20:14:31Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0004\summary.json,,False,,,1784578462747.0,1784578462747.0,events(offset_corrected),2450.0,650.0,1312.0,1.0,1312.0,1312.0,1312.0,0.0,51.0,43.0,1300.0,,195.0,72.0,27.0,0.0,0.0,0.0,194.0,73.0,194.0,73.0,0.0,0.0,1784578460421.0,1784578461733.0,,355.0,314.0,,309.0,411.0,,,,,1309.0,,,,1291.0,,,792.0,1068.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.06,1.238,1.14,1.305,1.02,1.211,26.0,,0.0,2097152000.0,3153.0,665129083.413,1.0,,0.0,0.0,,0.0,,0,True,0.07999999999999985,0.06699999999999995,1312.0,1312.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0005,0005,5,20260720_201433_postcopy_05_dd6ec6,postcopy,download,ok,2026-07-20T20:14:33Z,2026-07-20T20:14:58Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0005\summary.json,,False,,,1784578489035.0,1784578489035.0,events(offset_corrected),2502.0,700.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,43.0,50.0,1350.0,,188.0,73.0,28.0,0.0,0.0,0.0,188.0,73.0,188.0,73.0,0.0,0.0,1784578486651.0,1784578488012.0,,357.0,333.0,,297.0,440.0,,,,,1336.0,,,,1317.0,,,815.0,1084.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.02,1.141,1.33,1.468,1.01,1.209,26.0,,0.0,1992294400.0,3200.0,622592000.0,1.0,,0.0,0.0,,0.0,,0,True,0.31000000000000005,0.32699999999999996,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0006,0006,6,20260720_201459_postcopy_06_63b62c,postcopy,download,ok,2026-07-20T20:14:59Z,2026-07-20T20:15:24Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0006\summary.json,,False,,,1784578514785.0,1784578514785.0,events(offset_corrected),2549.0,701.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,46.0,49.0,1450.0,,186.0,74.0,30.0,0.0,0.0,0.0,186.0,74.0,186.0,74.0,0.0,0.0,1784578512327.0,1784578513788.0,,334.0,326.0,,312.0,437.0,,,,,1318.0,,,,1297.0,,,834.0,1107.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.13,1.309,1.215,1.753,0.98,1.171,25.0,,0.0,1992294400.0,3081.0,646638883.479,1.0,,0.0,0.0,,0.0,,0,True,0.08500000000000019,0.44399999999999995,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0007,0007,7,20260720_201524_postcopy_07_f15480,postcopy,download,ok,2026-07-20T20:15:24Z,2026-07-20T20:15:50Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0007\summary.json,,False,,,1784578541602.0,1784578541602.0,events(offset_corrected),2397.0,700.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,46.0,49.0,1300.0,,200.0,74.0,27.0,0.0,0.0,0.0,200.0,74.0,200.0,74.0,0.0,0.0,1784578539303.0,1784578540614.0,,339.0,317.0,,308.0,404.0,,,,,1320.0,,,,1304.0,,,809.0,1083.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.19,1.413,1.255,1.646,1.1,1.353,27.0,,0.0,2202009600.0,3018.0,729625447.316,1.0,,0.0,0.0,,0.0,,0,True,0.06499999999999995,0.23299999999999987,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0008,0008,8,20260720_201551_postcopy_08_192af6,postcopy,download,ok,2026-07-20T20:15:51Z,2026-07-20T20:16:16Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0008\summary.json,,False,,,1784578567712.0,1784578567712.0,events(offset_corrected),2602.0,650.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,51.0,49.0,1450.0,,192.0,72.0,30.0,0.0,0.0,0.0,191.0,73.0,191.0,73.0,0.0,0.0,1784578565239.0,1784578566700.0,,347.0,313.0,,316.0,429.0,,,,,1326.0,,,,1304.0,,,804.0,1075.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.16,1.334,1.175,1.703,1.085,1.239,26.0,,0.0,1992294400.0,3435.0,579998369.723,1.0,,0.0,0.0,,0.0,,0,True,0.015000000000000124,0.369,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0009,0009,9,20260720_201617_postcopy_09_50ae26,postcopy,download,ok,2026-07-20T20:16:17Z,2026-07-20T20:16:42Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0009\summary.json,,False,,,1784578593325.0,1784578593325.0,events(offset_corrected),2450.0,701.0,1312.0,1.0,1312.0,1312.0,1312.0,0.0,49.0,49.0,1300.0,,184.0,74.0,27.0,0.0,0.0,0.0,184.0,73.0,184.0,73.0,0.0,0.0,1784578590982.0,1784578592294.0,,320.0,331.0,,307.0,410.0,,,,,1361.0,,,,1338.0,,,826.0,1101.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.07,1.245,1.29,1.481,1.05,1.264,25.0,,0.0,1992294400.0,3095.0,643713861.066,1.0,,0.0,0.0,,0.0,,0,True,0.21999999999999997,0.236,1312.0,1312.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0010,0010,10,20260720_201643_postcopy_10_9d0420,postcopy,download,ok,2026-07-20T20:16:43Z,2026-07-20T20:17:08Z,,True,True,False,20260720_201246_postcopy_download_dd5ad7,/mnt/criu/runs/batches/20260720_201246_postcopy_download_dd5ad7,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_201246_postcopy_download_dd5ad7\runs\0010\summary.json,,False,,,1784578619698.0,1784578619698.0,events(offset_corrected),2499.0,650.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,50.0,50.0,1400.0,,190.0,74.0,29.0,0.0,0.0,0.0,189.0,74.0,189.0,74.0,0.0,0.0,1784578617319.0,1784578618730.0,,354.0,314.0,,316.0,422.0,,,,,1337.0,,,,1317.0,,,815.0,1080.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.07,1.244,1.205,1.349,1.03,1.203,26.0,,0.0,2097152000.0,2763.0,759012667.391,1.0,,0.0,0.0,,0.0,,0,True,0.135,0.10499999999999998,1411.0,1411.0
